ISMN,annee_sortie,arrangeur,artiste,collection,compositeur,description,duree,edition,genre,instrumentation,niveau,partie_euro,ref_editeur,sous_titre,style,titre,url
,,,,,Karl L. King,,,Barnhouse,Marche,Concert Band,4.0,False,BAR013050000,March,,Woody Van's,https://www.musicshopeurope.fr/woody-van-s-bar013050000?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
,,,,,Karl L. King,,,Barnhouse,Marche,Concert Band,2.5,False,BAR013052400AR,March,,The Centaur,https://www.musicshopeurope.fr/the-centaur-bar013052400ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
,,,,,Karl L. King,,,Barnhouse,Marche,Concert Band,2.5,False,BAR013052300AR,March,,Royal Hussars,https://www.musicshopeurope.fr/royal-hussars-bar013052300ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
,,,,,Karl L. King,,,Barnhouse,Marche,Concert Band,2.5,False,BAR013052200AR,March,,Apollo,https://www.musicshopeurope.fr/apollo-bar013052200ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
,,,,,Karl L. King,,,Barnhouse,Marche,Concert Band,2.5,False,BAR013052100,March,,Columbian,https://www.musicshopeurope.fr/columbian-bar013052100?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
,,,,,Charles L. Barnhouse,,,Barnhouse,,Concert Band,,False,BAR013052000AR,National Overture,,Land of Liberty,https://www.musicshopeurope.fr/land-of-liberty-bar013052000ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
,,,,,J.J. Richards,,,Barnhouse,,Concert Band,,False,BAR013051900AR,Galop,,Speedway,https://www.musicshopeurope.fr/speedway-bar013051900ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
,,,,, Kiefer,,,Barnhouse,,Concert Band,,False,BAR013051800AR,Overture,,Romantic,https://www.musicshopeurope.fr/romantic-bar013051800ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
,,,,, Casto,,,Barnhouse,Marche,Concert Band,,False,BAR013051700AR,March,,The Prize Beauty,https://www.musicshopeurope.fr/the-prize-beauty-bar013051700ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
,,,,,G. E. Holmes,,,Barnhouse,Marche,Concert Band,,False,BAR013051600AR,March & Two Step,,Alkahest,https://www.musicshopeurope.fr/alkahest-bar013051600ar?returnurl=%2fpartitions%2fband%2forchestre-d-harmonie%2ftype%2520de%2520produit%3dconducteur%2520-15%3d%2520parties%2f%3fsort%3dmarketable%2bfrom_desc%26count%3d7525
